,Date,Issuer,Symbol,Managers,Offer Price,Opening Price,1st Day Close,1st Day % Chg
659,2/1/17,Laureate Education ,LAUR,Credit Suisse/ Morgan Stanley/ Barclays/ Macquarie Capital/ J.P. Morgan/ BMO Capital Markets/ Citigroup/ KKR/ Goldman Sachs,14.0,12.5,13.25,-0.05357142857142857
661,2/3/17,Ramaco Resources ,METC,Credit Suisse/ Jefferies/ BMO Capital Markets,13.5,14.55,13.55,0.0037037037037037563
671,3/16/17,Canada Goose Holdings ,GOOS,"CIBC Capital Markets/ Credit Suisse/ Goldman, Sachs/ RBC Capital Markets",12.78,18.0,16.08,0.2582159624413145
687,4/13/17,Warrior Met Coal ,HCC,Credit Suisse/ Citigroup/ Morgan Stanley/ BMO Capital Markets/ RBC Capital Markets,19.0,17.5,18.0,-0.05263157894736842
689,4/21/17,Select Energy Services ,WTTR,Credit Suisse/ FBR/ Wells Fargo Securities/ BofA Merrill Lynch/ Citigroup/ J.P. Morgan,14.0,14.9,14.02,0.0014285714285713982
690,4/27/17,Floor & Decor Holdings ,FND,BofA Merrill Lynch/ Barclays/ Credit Suisse / UBS Investment Bank,21.0,30.25,32.05,0.5261904761904761
692,4/28/17,China Rapid Finance Limited ,XRF,Morgan Stanley/ Credit Suisse/ Jefferies,6.0,6.67,6.67,0.11166666666666665
695,4/28/17,NCS Multistage Holdings ,NCSM,Credit Suisse/ Citigroup/ Wells Fargo Securities,17.0,20.0,19.5,0.14705882352941177
710,5/12/17,Solaris Oilfield Infrastructure ,SOI,"Credit Suisse/ Goldman, Sachs",12.0,12.23,11.55,-0.03749999999999994
716,5/25/17,WideOpenWest ,WOW,UBS Investment Bank/ Credit Suisse/ RBC Capital Markets/ SunTrust Robinson Humphrey/ Evercore ISI/ Macquarie Capital,17.0,16.15,16.5,-0.029411764705882353
720,6/14/17,Athenex ,ATNX,Credit Suisse/ Deutsche Bank Securities/ J.P. Morgan,11.0,12.0,12.56,0.14181818181818187
754,8/11/17,Ranger Energy Services ,RNGR,Credit Suisse/ Simmons & Company International (Energy Specialists of Piper Jaffray)/ Wells Fargo Securities,14.5,14.0,14.22,-0.019310344827586163
761,9/20/17,BEST Inc. ,BSTI,Citigroup/ Credit Suisse/ Goldman Sachs/ J.P. Morgan/ Deutsche Bank,10.0,11.48,10.52,0.051999999999999956
769,9/27/17,RYB Education ,RYB,Credit Suisse/ Morgan Stanley,18.5,24.12,25.9,0.3999999999999999
782,10/18/17,Qudian ,QD,Morgan Stanley/ Credit Suisse/ Citigroup/CICc/ UBS Securities,24.0,34.5,29.18,0.21583333333333332
785,10/20/17,Sea Limited ,SE,Goldman Sachs (Asia)/ Morgan Stanley/ Credit Suisse,15.0,16.25,16.26,0.0840000000000001
792,10/27/17,Nexa Resources S.A. ,NEXA,J.P. Morgan/ BMO Capital Markets/ Morgan Stanley/ Credit Suisse,16.0,16.5,17.4,0.08749999999999991
796,11/2/17,Allena Pharmaceuticals ,ALNA,Credit Suisse/ Jefferies/ Cowen,14.0,12.0,9.98,-0.2871428571428571
797,11/2/17,Evoqua Water Technologies ,AQUA,Credit Suisse/ J.P. Morgan/ RBC Capital Markets,18.0,19.1,20.88,0.15999999999999995
808,11/9/17,Sogou ,SOGO,J.P. Morgan/ Credit Suisse/ Goldman Sachs/ CICC,13.0,13.0,13.5,0.038461538461538464
810,11/10/17,PPDAI Group ,PPDF,Credit Suisse/ Citigroup,13.0,13.3,13.08,0.006153846153846159
814,11/17/17,Bluegreen Vacations ,BXG,Stifel/ Credit Suisse,14.0,12.55,13.0,-0.07142857142857142
824,12/7/17,CURO Group Holdings ,CURO,Credit Suisse/ Jefferies/ Stephens,14.0,14.8,14.2,0.014285714285714235
842,3/22/16,Corvus Pharmaceuticals ,CRVS,Credit Suisse/ Cowen and Company,15.0,15.0,14.25,-0.05
850,5/6/16,Intellia Therapeutics ,NTLA,Credit Suisse/ Jefferies/ Leerink Partners,18.0,22.0,22.1,0.22777777777777786
861,5/26/16,GMS,GMS,Barclays/ Credit Suisse,21.0,22.5,21.91,0.04333333333333334
868,6/10/16,Atkore International Group ,ATKR,Credit Suisse/ Deutsche Bank Securities/ J.P. Morgan/ UBS Investment Bank,16.0,15.75,16.0,0.0
869,6/10/16,China Online Education Group ,COE,Morgan Stanley/ Credit Suisse,19.0,19.5,18.98,-0.001052631578947346
875,7/15/16,AdvancePierre Foods Holdings ,APFH,Barclays/ Credit Suisse/ Morgan Stanley,21.0,23.5,24.0,0.14285714285714285
889,8/11/16,Medpace Holdings ,MEDP,Jefferies/ Credit Suisse/ UBS Investment Bank/ Wells Fargo Securities,23.0,28.15,27.79,0.20826086956521736
895,9/16/16,Everbridge,EVBG,Credit Suisse/ BofA Merrill Lynch,12.0,12.3,15.25,0.2708333333333333
902,9/23/16,AC Immune SA ,ACIU,Credit Suisse/ Jefferies/ Leerink Partners ,11.0,14.11,15.66,0.42363636363636364
906,9/29/16,Fulgent Genetics ,FLGT,Credit Suisse/ Jefferies,9.0,9.21,9.18,0.01999999999999997
910,10/6/16,Advanced Disposal Services ,ADSW,Deutsche Bank Securities/ Credit Suisse/ Barclays,18.0,20.5,20.0,0.1111111111111111
